# Number of Traces
   9684
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
  282; 2; 89; 0.105496; 0.568513; 0.220405; 0.710031; 0.300569; 0.644792
  283; 2; 90; 0.0343711; 0.574341; 0.131829; 0.41476; 0.805643; 1.00029
  284; 2; 92; 0.00609802; 0.658966; 0.220405; 0.547736; 0.849994; 1.24898
  285; 2; 94; 0.323842; 0.842445; 0.931208; 0.65643; 0.511502; 0.888665
  286; 2; 95; 0.637696; 0.00175877; 0.096403; 0.369072; 0.658052; 0.715792
  287; 2; 96; 0.189742; 0.49185; 0.220405; 0.485809; 0.740987; 1.00029
  288; 2; 97; -0.0839425; 1.25946; 1.00029; 0.796118; 0.259144; 0.700311
  289; 2; 98; -0.0839018; 0.494962; -0.14942; 0.0601247; 1.12836; 1.00029
  290; 2; 99; 0.919723; 0.16651; 0.730157; -0.063582; 0.973528; 0.598125
  291; 2; 100; 0.0275579; 0.719356; 0.340597; 0.016016; 0.730987; 0.342293
  292; 2; 104; -0.449309; 1.09195; 0.248322; 0.457606; 0.293015; 0.287967
  293; 2; 106; -0.100001; 0.755516; 0.220405; 0.650269; 0.89711; 1.46017
  294; 2; 108; 0.620485; 0.530513; 0.868064; 0.440049; 0.273721; 0.234921
  295; 2; 109; 0.449672; 0.578829; 0.706954; 0.575503; 0.422572; 0.644165
  296; 2; 110; 0.344076; 0.351405; 0.220405; 0.333049; 0.879999; 1.00029
  297; 2; 112; 0.10208; 0.558171; 0.200175; 0.093307; 1.09817; 1.00029
  298; 2; 114; -0.140641; 0.792499; 0.220405; 0.365356; 0.8506; 1.00029
  299; 2; 116; 0.228534; 0.456549; 0.220405; 0.243997; 0.695639; 0.601145
  300; 2; 118; -0.24085; 0.528501; -0.313777; 0.577864; 0.657217; 1.00029
